21680	training
46431	training
74803	training
24012	training
63192	training
19532	training
77524	training
86430	training
62520	training
93814	training
798	training
4938	training
198134	training
11571	training
155319	training
21937	training
73995	training
165438	training
26035	training
57654	training
194272	training
79960	training
93955	training
76531	training
193655	training
59084	training
77191	training
10567	training
93878	training
179418	training
85580	training
220973	training
190508	training
33586	training
44590	training
57520	training
5876	training
62121	training
96256	training
162846	training
17012	training
175022	training
31977	training
62984	training
30153	training
40385	training
14864	training
65338	training
71556	training
17280	training
1223	training
20610	training
91812	training
3908	training
990	training
62113	training
50945	training
4669	training
3060	training
86087	training
47751	training
63290	training
58853	training
78612	training
102904	training
19825	training
59048	training
78701	training
63058	training
56285	training
57957	training
49323	training
29480	training
46158	training
12471	training
66558	training
30611	training
65813	training
5147	training
135237	training
69988	training
62493	training
17220	training
14548	training
15568	training
75609	training
136761	training
79457	training
27449	training
94384	training
135181	training
169079	training
36141	training
76305	training
37077	training
72316	training
6271	training
65877	training
11722	training
79032	training
21256	training
53592	training
51133	training
147406	training
12051	training
51346	training
19487	training
46080	training
74925	training
137215	training
46045	training
73932	training
192919	training
162986	training
7096	training
77027	training
2129	training
180239	training
71695	training
188731	training
52176	training
172324	training
146414	training
92730	training
88936	training
83454	training
96718	training
156799	training
7651	training
57557	training
10036	training
43632	training
69094	training
149477	training
151366	training
19932	training
168249	training
24391	training
154815	training
32663	training
723	training
171842	training
150429	training
67429	training
75874	training
27209	training
139536	training
147972	training
48353	training
8773	training
15452	training
12192	training
15840	training
63473	training
220855	training
119158	training
92318	training
92345	training
12981	training
72675	training
166832	training
72589	training
45063	training
86532	training
82211	training
150517	training
248481	training
182022	training
75593	training
85135	training
3219	training
53574	training
26150	training
188100	training
57146	training
75842	training
29974	training
66239	training
46639	training
77961	training
239437	training
87094	training
93844	training
8932	training
225322	training
134709	training
83862	training
57626	training
26267	training
31000	training
69596	training
66100	training
157690	training
97228	training
4630	training
56845	training
107628	training
46796	training
71781	training
79224	training
82824	training
19620	training
81366	training
85013	training
225323	training
85604	training
